Mycobiont,Notes,AITS,Coords,Lat,Long
Acarospora hilaris ,listed as epithallina in GenBank but hilaris in paper,FJ792798,41°24’50′′N 1°36′10′′W,41.4138889,-1.6027778
Aspicilia desertorum ,,HM064495,40°6′5.49′′N 1°1′26.30′′W,40.101525,-1.0239722
Lobaria pulmonaria ,,FJ792803 ,43°05′35′′N 6°00′34′′W,43.0930556,-6.0094444
Parmotrema perlatum ,,FJ792800,45°42′19′′N –13°48′14′′W,45.7052778,13.8038889
Ramalina farinacea ,lat changed from 9 to 39,FJ418566,39°57′32′′N 0°46′35′′W,39.9588889,-0.7763889
Ramalina farinacea ,lat changed from 9 to 39,FJ418565,39°57′32′′N 0°46′35′′W,39.9588889,-0.7763889
Ramalina siliquosa ,,FJ792799,43°39′23′′N 5°50′46′′W,43.6563889,-5.8461111
Seirophora villosa ,lat changed from 9 to 39,FJ792797,39°20′31′′N –2°59′16′′W,39.3419444,2.9877778
Teloschistes chrysophthalmus ,lat should be 39,FJ792802,"39°57′32′′N 0°46'35""W ",39.9588889,-0.7763889
Xanthoparmelia tinctina ,,FJ792801,"40°51'27""N –9°05'45""W",40.8575,9.0958333
