Sequence,Location,Collector,CollNo,Substrate,Photobiont,Accession
H2 ,"Germany, Cologne-Deutz, 2004 ",H. Thüs ,47 ,basalt,T. incrustata ,DQ133496
I2 ,"Germany, Cologne, 2004 ",H. Thüs ,48 ,basalt,T. incrustata ,DQ133494
C8 ,"Poland, Malbork, castle, 2003 ",,3 ,brick wall,muralis ,AY703902
B3 ,"Poland, Malbork, castle, 2003 ",,13 ,brick wall,T. incrustata ,AY703901
B1 ,"Poland, Malbork, castle, 2003 ",,2 ,brick wall,,AY703899
1LM-A2 ,"Poland, Malbork, castle, 2003 ",,1 ,brick wall,T. gigantea ,AY703898
B2 ,"Poland, Malbork, castle, 2003 ",,,brick wall,T. gigantea ,AY703900
L9 ,"Italy, Artena, 2005 ",,169 ,brick wall,T. incrustata ,DQ133473
I8 ,"Austria, Graz, botanical garden, 2004 ",M. Grube ,Sample 1 ,calcareous wall,muralis I ,DQ133485
I9 ,"Austria, Graz, botanical garden, 2004 ",M. Grube ,Sample 3 ,calcareous wall,muralis I ,DQ133486
H4 ,"Austria, Graz, botanical garden, 2004 ",M. Grube ,Sample 18 ,calcareous wall,muralis I ,DQ133484
H3 ,"Austria, Graz, botanical garden, 2004 ",M. Grube ,Sample 11 ,calcareous wall,T. incrustata ,DQ133493
K2 ,"Poland, Piaski, 1981 ",E. Budzbon ,UGDA 2161 ,concrete,muralis I ,DQ133480
K1 ,"Poland, Wiele, bridge, 1994 ",M. Kukwa & W. Fałtynowicz ,UGDA 9763 ,concrete,muralis I ,DQ133476
B4 ,"Poland, Malbork, cemetery, 2003 ",,14 ,concrete,muralis I ,AY703903
G3 ,"Poland, Torun´, 2004 ",,44 ,concrete,muralis I ,DQ133483
G5 ,"Poland, Kiełp, 2004 ",,34 ,concrete,T. incrustata ,DQ133492
L8 ,"Poland, Chełmno, 2004 ",,38 ,concrete,T. asymmetrica ,DQ133475
I5 ,"Austria, Salzburg, 2005 ",,32 ,concrete,muralis I ,DQ133487
I4 ,"Austria, Salzburg, 2005 ",,31 ,concrete,T. asymmetrica ,DQ133499
L5 ,"Poland, fort Zarzecze near Osowiec, 2005 ",M. Kukwa ,UGDA 3956 ,concrete,T. asymmetrica ,DQ133479
L4 ,"Poland, Malbork, Jurand channel 2005 ",,29 ,concrete,T. gigantea ,DQ133478
J6A ,"Poland, Snudniki 2000 ",K. Jando & M. Kukwa ,UGDA 8692 ,granite,,DQ133477
F6 ,"Denmark, NE Bornholm 2003 ",M. Kukwa ,UGDA 2645 ,granite,T. incrustata ,DQ133489
J3 ,"Poland, Stegna, 2000 ",M. Kołakowska ,UGDA 10361 ,granite,T. incrustata ,DQ133502
J8 ,"Poland, Kamien´, 2000 ",M. Kołakowska ,UGDA 10363 ,granite,T. incrustata ,DQ133495
G2 ,"Estonia, Värska, 2004 ",,81 ,granite,T. incrustata ,DQ133488
G1 ,"Estonia, Harjumaa, 2004 ",M. Kukwa & P.Czarnota ,83 ,granite,T. incrustata ,DQ133491
J7S ,"Poland, Magdalenowo 1984 ",M. R. D. Seaward & E. Bylin´ska ,UGDA 2681 ,gravestone,T. incrustata ,DQ133474
E6 ,"Ukraine, Kitaygorod, 2003 ",,101 ,limestone,,DQ133497
E1 ,"Ukraine, Medobory, Ostra Skela, 2003 ",,85 ,limestone,muralis I ,DQ133500
D8 ,"Ukraine, Kitaygorod, 2003 ",,91 ,limestone,muralis I ,AY703907
C10 ,"Ukraine, Kitaygorod, 2003 ",,92 ,limestone,muralis I ,AY703905
C9 ,"Ukraine, Kitaygorod, 2003 ",,94 ,limestone,muralis I ,AY703904
D7 ,"Ukraine, Kitaygorod, 2003 ",,108 ,limestone,muralis I ,AY703906
E2 ,"Italy, Trieste, castle, 2004 ",,22 ,sandstone,muralis I ,DQ133501
F4 ,"Italy, Trieste, 2004 ",,24 ,sandstone,muralis I ,DQ133482
I1d ,"Germany, Speyer, 2004 ",H. Thüs ,46 ,sandstone,muralis I ,DQ133481
E3 ,"Italy, Trieste, 2004 ",,23 ,sandstone,T. incrustata ,DQ133498
F7 ,"Sweden, Berga, 2003 ",M. Kukwa ,27 ,soil on granite,T. incrustata ,DQ133490
