Taxon,ID,Voucher,Plot,Location,,Lat. ,,Lon.,Ele.,Collector(s),Source
R. chrysolueca,561f,BRY C55000,-,"USA, UT, Wayne Co.:  northwest of Boulder Mountain (BM-1)",38.27364,,-111.6106,,2344 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,562f,BRY C55001,-,"USA, UT, Wayne Co.:  northwest of Boulder Mountain (BM-1)",38.27364,,-111.6106,,2344 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,565f,BRY C55002,-,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.17228,,-111.5794,,2809 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,566f,BRY C55003,-,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.17228,,-111.5794,,2809 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,569f,BRY C55004,-,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.16257,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,570f,BRY C55005,-,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.16257,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,581f,BRY C55570,-,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.16257,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,582f,BRY C55006,-,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.16257,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,583f,BRY C55007,-,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.16257,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,584f,BRY C55008,-,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.16257,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,585f,BRY C55009,-,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.16257,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,591f,BRY C55010,-,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.17228,,-111.5795,,2809 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,592f,BRY C55011,,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.17228,,-111.5795,,2809 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,593f,BRY C55012,-,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.17228,,-111.5795,,2809 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,594f,BRY C55571,-,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.17228,,-111.5795,,2809 m,"SDL, HCL, JHL, PAR",this study
R. chrysolueca,595f,BRY C55013,-,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.17228,,-111.5795,,2809 m,"SDL, HCL, JHL, PAR",this study
