"ID","Herbarium.Accession.No.","Fungal.species","Fungal.clade","Algal.clade","Site","Substrate","Major.medullary.compound","Reproductive.mode","Mycobiont.Taxon","DNA.ID","Origin","GenBank.Accession.#","Lat","Long"
1,"BRY-C55151","X. coloradoënsis","E3","‘T. BMP 5’",3,"rock","salazinic","not observed","X. aff. coloradoënsis","1","USA, Utah, BMP","KF026221","38.132","-111.470"
2,"BRY-C55152","X. cumberlandia","E1","‘T. BMP 5’",3,"rock","stictic","not observed","X. aff. cumberlandia","2","USA, Utah, BMP","KF026222","38.132","-111.470"
3,"BRY-C55153","X. cumberlandia","E1","‘T. BMP 2’",3,"rock","stictic","not observed","X. aff. cumberlandia","3","USA, Utah, BMP","KF026223","38.132","-111.470"
4,"BRY-C55154","X. chlorochroa","E-admixed","‘T. BMP 5’",3,"soil","salazinic","fragmentation","X. aff. chlorochroa","4","USA, Utah, BMP","KF026224","38.132","-111.470"
5,"BRY-C55155","X. chlorochroa","E2","‘T. BMP 3’",1,"soil","salazinic","fragmentation","X. aff. chlorochroa","5","USA, Utah, BMP","KF026225","38.145","-111.536"
6,"BRY-C55156","X. coloradoënsis","E3","‘T. BMP 5’",2,"rock","salazinic","not observed","X. aff. coloradoënsis","6","USA, Utah, BMP","KF026226","38.121","-111.508"
7,"BRY-C55157","X. norchlorochroa","E2","‘T. BMP 3’",1,"soil","salazinic","fragmentation","X. aff. norchlorochroa","7","USA, Utah, BMP","KF026227","38.145","-111.536"
8,"BRY-C55158","X. chlorochroa","E2","‘T. BMP 5’",1,"soil","salazinic","fragmentation","X. aff. chlorochroa","8","USA, Utah, BMP","KF026228","38.145","-111.536"
9,"BRY-C55159","X. chlorochroa","E-admixed","‘T. BMP 5’",2,"soil","salazinic","fragmentation","X. aff. chlorochroa","9","USA, Utah, BMP","KF026229","38.121","-111.508"
10,"BRY-C55160","X. chlorochroa","E2","‘T. BMP 5’",2,"soil","salazinic","fragmentation","X. aff. chlorochroa","10","USA, Utah, BMP","KF026230","38.121","-111.508"
11,"BRY-C55161","X. chlorochroa","E2","‘T. BMP 5’",2,"soil","salazinic","fragmentation","X. aff. chlorochroa","11","USA, Utah, BMP","KF026231","38.121","-111.508"
12,"BRY-C55162","X. coloradoënsis","E3","‘T. simplex’",2,"rock","salazinic","not observed","X. aff. coloradoënsis","12","USA, Utah, BMP","KF026232","38.121","-111.508"
