"LABEL","OTU.-.ABGD","OTU-97.5","host.GENUS","host.SPECIES","HOST.DNA.SPECIES","growth.form","Bio-Region","EcoRegion.(I)","EcoRegion.(II)","EcoRegion.(III)","EcoRegion.(IV)","COUNTRY","STATE","SUBSTRATE","DNA_ID","GenBank.ITS","GenBank.COXII","GenBank.rbcL","GenBank.psbJ-L","Lat","Long","LL_Publication","additional_location_info"
"A01_LEC_garov_usa_ID_saxi_078                  ","A01","A01","Lecanora","garovaglii","garovaglii","placodioid","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","saxicolous","78","KR912351","-","-","-",NA,NA,NA,NA
"A01_LEC_garov_usa_ID_saxi_088                  ","A01","A01","Lecanora","garovaglii","garovaglii","placodioid","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","saxicolous","88","KR912352","-","-","-",NA,NA,NA,NA
"A01_LEC_garov_usa_ID_saxi_089                  ","A01","A01","Lecanora","garovaglii","garovaglii","placodioid","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","saxicolous","89","KR912353","-","-","-",NA,NA,NA,NA
"A01_LEC_garov_usa_ID_saxi_095                  ","A01","A01","Lecanora","garovaglii","garovaglii","placodioid","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","saxicolous","95","KR912354","-","KR914274","-",NA,NA,NA,NA
"A01_LEC_garov_usa_ID_saxi_100                  ","A01","A01","Lecanora","garovaglii","garovaglii","placodioid","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","saxicolous","100","KR912355","KR914200","KR914275","KR914371",NA,NA,NA,NA
"A01_LEC_garov_usa_ID_saxi_105                  ","A01","A01","Lecanora","garovaglii","garovaglii","placodioid","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","saxicolous","105","KR912356","-","-","-",NA,NA,NA,NA
"A01_LEC_garov_usa_ID_saxi_106                  ","A01","A01","Lecanora","garovaglii","garovaglii","placodioid","Nearctic","Northwestern Forested Mountains","Western Cordillera","Middle Rockies","Dry Intermountain Sagebrush Valleys","USA","ID","saxicolous","106","KR912357","-","-","-",NA,NA,NA,NA
"A01_LEC_garov_usa_UT_saxi_139                  ","A01","A01","Lecanora","garovaglii","garovaglii","placodioid","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Semiarid Foothills","USA","UT","saxicolous","139","KR912358","-","KR914276","-",NA,NA,NA,NA
"A01_LEC_garov_usa_UT_saxi_199                  ","A01","A01","Lecanora","garovaglii","garovaglii","placodioid","Nearctic","Northwestern Forested Mountains","Western Cordillera","Wasatch and Uinta Mountains","Moist Wasatch Front Footslopes","USA","UT","saxicolous","199","KR912359","KR914201","KR914277","KR914372",NA,NA,NA,NA
"A01_LEC_mural_poland_unk_saxi_AY703902         ","A01","A01","Lecanora","muralis","muralis","placodioid","Palearctic","Temperate broadleaf and mixed forests","Temperate broadleaf and mixed forests","Central European mixed forests","Central European mixed forests","Poland","unknown","saxicolous","AY703902         ","AY703902","-","-","-",NA,NA,NA,NA
"A01_LEC_mural_poland_unk_saxi_AY703903         ","A01","A01","Lecanora","muralis","muralis","placodioid","Palearctic","Temperate broadleaf and mixed forests","Temperate broadleaf and mixed forests","Central European mixed forests","Central European mixed forests","Poland","unknown","saxicolous","AY703903         ","AY703903","-","-","-",NA,NA,NA,NA
"A01_LEC_mural_ukraine_unk_saxi_AY703904        ","A01","A01","Lecanora","muralis","muralis","placodioid","Palearctic","Temperate broadleaf and mixed forests","Temperate broadleaf and mixed forests","Central European mixed forests","Central European mixed forests","Ukraine","unknown","saxicolous","AY703904        ","AY703904","-","-","-",NA,NA,NA,NA
"A01_LEC_mural_ukraine_unk_saxi_AY703905        ","A01","A01","Lecanora","muralis","muralis","placodioid","Palearctic","Temperate broadleaf and mixed forests","Temperate broadleaf and mixed forests","Central European mixed forests","Central European mixed forests","Ukraine","unknown","saxicolous","AY703905        ","AY703905","-","-","-",NA,NA,NA,NA
"A01_LEC_mural_ukraine_unk_saxi_AY703906        ","A01","A01","Lecanora","muralis","muralis","placodioid","Palearctic","Temperate broadleaf and mixed forests","Temperate broadleaf and mixed forests","Central European mixed forests","Central European mixed forests","Ukraine","unknown","saxicolous","AY703906        ","AY703906","-","-","-",NA,NA,NA,NA
"A01_LEC_mural_ukraine_unk_saxi_AY703907        ","A01","A01","Lecanora","muralis","muralis","placodioid","Palearctic","Temperate broadleaf and mixed forests","Temperate broadleaf and mixed forests","Central European mixed forests","Central European mixed forests","Ukraine","unknown","saxicolous","AY703907        ","AY703907","-","-","-",NA,NA,NA,NA
"A01_LEC_mural_poland_unk_saxi_DQ133476         ","A01","A01","Lecanora","muralis","muralis","placodioid","Palearctic","Temperate broadleaf and mixed forests","Temperate broadleaf and mixed forests","Central European mixed forests","Central European mixed forests","Poland","unknown","saxicolous","DQ133476         ","DQ133476","-","-","-",NA,NA,NA,NA
"A01_LEC_mural_poland_unk_saxi_DQ133480         ","A01","A01","Lecanora","muralis","muralis","placodioid","Palearctic","Temperate broadleaf and mixed forests","Temperate broadleaf and mixed forests","Central European mixed forests","Central European mixed forests","Poland","unknown","saxicolous","DQ133480         ","DQ133480","-","-","-",NA,NA,NA,NA
"A01_LEC_mural_germany_unk_saxi_DQ133481        ","A01","A01","Lecanora","muralis","muralis","placodioid","Palearctic","Temperate broadleaf and mixed forests","Temperate broadleaf and mixed forests","Central European mixed forests","Central European mixed forests","Germany","unknown","saxicolous","DQ133481        ","DQ133481","-","-","-",NA,NA,NA,NA
