Population,AITS,Lat,Long,Notes
Iceland 2,KT827662,65.3147,-19.3103,
Bolivia 1,KT827663,-16.318333,-68.033333,
Bolivia 1,KT827664,-16.318333,-68.033333,
Bolivia 1,KT827665,-16.318333,-68.033333,
Bolivia 3,KT827666,-17.283611,-66.211389,
Bolivia 3,KT827667,-17.283611,-66.211389,
Scotland 2,KT827672,57.125519,-5.501926,Changed coordinates from Scotland 3 to Scotland 2
Scotland 2,KT827673,57.125519,-5.501926,Changed coordinates from Scotland 3 to Scotland 2
Scotland 2,KT827674,57.125519,-5.501926,Changed coordinates from Scotland 3 to Scotland 2
Scotland 2,KT827675,57.125519,-5.501926,Changed coordinates from Scotland 3 to Scotland 2
Scotland 2,KT827676,57.125519,-5.501926,Changed coordinates from Scotland 3 to Scotland 2
Scotland 2,KT827677,57.125519,-5.501926,Changed coordinates from Scotland 3 to Scotland 2
Scotland 2,KT827672,57.125519,-5.501926,Changed coordinates from Scotland 3 to Scotland 2
Scotland 2,KT827676,57.125519,-5.501926,Changed coordinates from Scotland 3 to Scotland 2
Scotland 1,KT827678,57.0756,-3.4022,Changed coordinates from Scotland 2 to Scotland 1
Scotland 1,KT827679,57.0756,-3.4022,Changed coordinates from Scotland 2 to Scotland 1
Scotland 1,KT827680,57.0756,-3.4022,Changed coordinates from Scotland 2 to Scotland 1
Spain 1,KT827681,40.87774,-3.774283,
Spain 1,KT827682,40.87774,-3.774283,
Spain 1,KT827683,40.87774,-3.774283,
Spain 1,KT827684,40.87774,-3.774283,
Scotland 1,KT827678,57.0756,-3.4022,Changed coordinates from Scotland 2 to Scotland 1
Scotland 1,KT827685,57.0756,-3.4022,Changed coordinates from Scotland 2 to Scotland 1
Scotland 1,KT827672,57.0756,-3.4022,Changed coordinates from Scotland 2 to Scotland 1
Scotland 1,KT827686,57.0756,-3.4022,Changed coordinates from Scotland 2 to Scotland 1
Spain 4,KT827687,42.206115,-6.094154,
Spain 2,KT827688,41.03477,-3.17238,
Spain 2,KT827689,41.03477,-3.17238,
Spain 2,KT827690,41.03477,-3.17238,
Spain 2,KT827691,41.03477,-3.17238,
Spain 2,KT827692,41.03477,-3.17238,
Iran,KT827693,38.51532,46.5808,
Iran,KT827694,38.51532,46.5808,
Ukraine 3,KT827695,51.475028,23.833731,
Ukraine 3,KT827695,51.475028,23.833731,
Ukraine 3,KT827695,51.475028,23.833731,
Ukraine 3,KT827695,51.475028,23.833731,
Ukraine 3,KT827696,51.475028,23.833731,
Ukraine 3,KT827696,51.475028,23.833731,
Ukraine 1,KT827683,48.135002,39.801057,
Ukraine 1,KT827697,48.135002,39.801057,
Ukraine 1,KT827697,48.135002,39.801057,
Ukraine 1,KT827697,48.135002,39.801057,
Ukraine 2,KT827698,48.45083,39.21255,
Ireland,KT827678,55.22618,-7.2244,
Ireland,KT827678,55.22618,-7.2244,
Ireland,KT827699,55.22618,-7.2244,
Ethiopia 1,KT827700,6.5632,39.54386,
Ethiopia 1,KT827701,6.5632,39.54386,
Ethiopia 2,KT827702,6.47406,39.46414,
Ethiopia 2,KT827703,6.47406,39.46414,
Kenya 1,KT827704,1.07264,34.35792,
Kenya 1,KT827705,1.07264,34.35792,
Turkey 2,KT827706,38.3323,27.2633,
Turkey 2,KT827707,38.3323,27.2633,
