DNA number,Sample,Host,ITS_GenBank
150300,1,Lasallia hispanica,MH299122
150301,2,Lasallia hispanica,MH299123
150302,3,Lasallia hispanica,MH299126
150303,4,Lasallia hispanica,MH299146
150304,5,Lasallia hispanica,MH299149
150305,6,Lasallia hispanica,MH299160
150306,7,Lasallia hispanica,MH299187
150307,8,Lasallia hispanica,MH299213
150308,9,Lasallia hispanica,MH299153
150309,10,Lasallia hispanica,-
150310,11,Lasallia hispanica,MH299225
150311,12,Lasallia hispanica,MH299127
150312,13,Lasallia hispanica,MH299226
150313,14,Lasallia hispanica,MH299151
150314,15,Lasallia hispanica,MH299229
150315,16,Lasallia hispanica,MH299162
150316,17,Lasallia hispanica,MH299208
150317,18,Lasallia hispanica,MH299150
150318,19,Lasallia hispanica,MH299125
150319,20,Lasallia hispanica,MH299255
150320,21,Lasallia hispanica,MH299239
150321,22,Lasallia hispanica,MH299188
150322,23,Lasallia hispanica,MH299227
150323,24,Lasallia hispanica,MH299256
150324,25,Lasallia hispanica,MH299189
150325,26,Lasallia hispanica,MH299254
150326,27,Lasallia hispanica,MH299211
150327,28,Lasallia hispanica,MH299191
150328,29,Lasallia hispanica,MH299278
150329,30,Lasallia hispanica,MH299205
150330,31,Lasallia hispanica,MH299248
150331,32,Lasallia hispanica,MH299232
150332,33,Lasallia hispanica,MH299152
150333,34,Lasallia hispanica,MH299206
150334,35,Lasallia hispanica,MH299244
150335,36,Lasallia hispanica,MH299212
150336,37,Lasallia hispanica,MH299214
150337,38,Lasallia hispanica,MH299207
150338,39,Lasallia hispanica,MH299192
150339,40,Lasallia hispanica,MH299196
150340,41,Lasallia hispanica,MH299240
150341,42,Lasallia hispanica,MH299193
150342,43,Lasallia hispanica,MH299279
150343,44,Lasallia hispanica,MH299241
150344,45,Lasallia hispanica,MH299249
150345,46,Lasallia hispanica,MH299194
150346,47,Lasallia hispanica,MH299280
150347,48,Lasallia hispanica,MH299281
150348,49,Lasallia hispanica,MH299190
150349,50,Lasallia hispanica,MH299242
150350,51,Lasallia hispanica,MH299197
150351,52,Lasallia hispanica,MH299282
150352,53,Lasallia hispanica,MH299198
150353,54,Lasallia hispanica,MH299277
150354,55,Lasallia hispanica,MH299195
150355,56,Lasallia hispanica,MH299243
150356,57,Lasallia hispanica,MH299283
150357,58,Lasallia hispanica,MH299199
150358,59,Lasallia hispanica,MH299147
150359,60,Lasallia hispanica,MH299251
150360,61,Lasallia hispanica,MH299209
150361,62,Lasallia hispanica,MH299252
150362,63,Lasallia hispanica,MH299215
150363,64,Lasallia hispanica,MH299200
150364,65,Lasallia hispanica,MH299274
150365,66,Lasallia hispanica,MH299258
150366,67,Lasallia hispanica,MH299246
150367,68,Lasallia hispanica,MH299216
150368,69,Lasallia hispanica,MH299245
150369,70,Lasallia hispanica,MH299221
150370,71,Lasallia hispanica,MH299201
150371,72,Lasallia hispanica,MH299210
150372,73,Lasallia hispanica,MH299231
150373,74,Lasallia hispanica,MH299202
150374,75,Lasallia hispanica,MH299217
150375,76,Lasallia hispanica,MH299250
150376,77,Lasallia hispanica,MH299203
150377,78,Lasallia hispanica,MH299204
150378,79,Lasallia hispanica,MH299247
150379,80,Lasallia hispanica,MH299235
150380,81,Lasallia hispanica,-
150381,82,Lasallia hispanica,MH299259
150382,83,Lasallia hispanica,MH299154
150383,84,Lasallia hispanica,-
150384,85,Lasallia hispanica,MH299218
150385,86,Lasallia hispanica,MH299148
150386,87,Lasallia hispanica,MH299128
150387,88,Lasallia hispanica,MH299129
150388,89,Lasallia hispanica,MH299260
150389,90,Lasallia hispanica,MH299155
150390,91,Lasallia hispanica,-
150391,92,Lasallia hispanica,-
150392,93,Lasallia hispanica,MH299124
150393,94,Lasallia hispanica,MH299161
150394,95,Lasallia hispanica,MH299157
150395,96,Lasallia hispanica,MH299156
150396,97,Lasallia hispanica,MH299304
150397,98,Lasallia hispanica,-
150398,99,Lasallia hispanica,MH299158
150399,100,Lasallia hispanica,MH299159
150400,101,Lasallia hispanica,-
150401,102,Lasallia hispanica,MH299267
150402,103,Lasallia hispanica,-
150403,104,Lasallia hispanica,-
150404,105,Lasallia hispanica,-
150405,106,Lasallia hispanica,-
150406,107,Lasallia hispanica,MH299163
150407,108,Lasallia hispanica,-
150408,109,Lasallia hispanica,-
150409,110,Lasallia hispanica,-
150410,111,Lasallia hispanica,MH299284
150411,112,Lasallia hispanica,-
150412,113,Lasallia hispanica,MH299145
150413,114,Lasallia hispanica,MH299290
150414,115,Lasallia hispanica,-
150415,116,Lasallia hispanica,-
150416,117,Lasallia hispanica,-
150417,118,Lasallia hispanica,MH299164
150418,119,Lasallia hispanica,MH299141
150419,120,Lasallia hispanica,MH299142
150420,121,Lasallia pustulata,MH299275
150421,122,Lasallia pustulata,MH299297
150422,123,Lasallia pustulata,MH299261
150423,124,Lasallia pustulata,MH299228
150424,125,Lasallia pustulata,MH299233
150425,126,Lasallia pustulata,MH299230
150426,127,Lasallia pustulata,MH299276
150427,128,Lasallia pustulata,MH299236
150428,129,Lasallia pustulata,MH299237
150429,130,Lasallia pustulata,-
150430,131,Lasallia pustulata,-
150431,132,Lasallia pustulata,MH299264
150432,133,Lasallia pustulata,MH299220
150433,134,Lasallia pustulata,MH299301
150434,135,Lasallia pustulata,-
150435,136,Lasallia pustulata,MH299286
150436,137,Lasallia pustulata,-
150437,138,Lasallia pustulata,MH299223
150438,139,Lasallia pustulata,MH299253
150439,140,Lasallia pustulata,-
150440,141,Lasallia pustulata,MH299219
150441,142,Lasallia pustulata,MH299287
150442,143,Lasallia pustulata,MH299222
150443,144,Lasallia pustulata,MH299130
150444,145,Lasallia pustulata,MH299132
150445,146,Lasallia pustulata,MH299302
150446,147,Lasallia pustulata,-
150447,148,Lasallia pustulata,MH299265
150448,149,Lasallia pustulata,MH299270
150449,150,Lasallia pustulata,MH299288
150450,151,Lasallia pustulata,MH299135
150451,152,Lasallia pustulata,MH299303
150452,153,Lasallia pustulata,MH299224
150453,154,Lasallia pustulata,-
150454,155,Lasallia pustulata,MH299133
150455,156,Lasallia pustulata,-
150456,157,Lasallia pustulata,MH299292
150457,158,Lasallia pustulata,MH299262
150458,159,Lasallia pustulata,MH299294
150459,160,Lasallia pustulata,MH299263
150460,161,Lasallia pustulata,MH299299
150461,162,Lasallia pustulata,MH299285
150462,163,Lasallia pustulata,-
150463,164,Lasallia pustulata,MH299296
150464,165,Lasallia pustulata,MH299140
150465,166,Lasallia pustulata,MH299238
150466,167,Lasallia pustulata,MH299134
150467,168,Lasallia pustulata,-
150468,169,Lasallia pustulata,MH299138
150469,170,Lasallia pustulata,MH299293
150470,171,Lasallia pustulata,MH299289
150471,172,Lasallia pustulata,MH299144
150472,173,Lasallia pustulata,MH299131
150473,174,Lasallia pustulata,-
150474,175,Lasallia pustulata,-
150475,176,Lasallia pustulata,-
150476,177,Lasallia pustulata,-
150477,178,Lasallia pustulata,-
150478,179,Lasallia pustulata,-
150479,180,Lasallia pustulata,-
150480,181,Lasallia pustulata,MH299271
150481,182,Lasallia pustulata,MH299269
150482,183,Lasallia pustulata,MH299295
150483,184,Lasallia pustulata,MH299266
150484,185,Lasallia pustulata,-
150485,186,Lasallia pustulata,-
150486,187,Lasallia pustulata,-
150487,188,Lasallia pustulata,-
150488,189,Lasallia pustulata,-
150489,190,Lasallia pustulata,-
150490,191,Lasallia pustulata,-
150491,192,Lasallia pustulata,-
150492,193,Lasallia pustulata,-
150493,194,Lasallia pustulata,MH299300
150494,195,Lasallia pustulata,MH299273
150495,196,Lasallia pustulata,MH299272
150496,197,Lasallia pustulata,MH299257
150497,198,Lasallia pustulata,-
150498,199,Lasallia pustulata,MH299268
150499,200,Lasallia pustulata,MH299234
150500,201,Lasallia pustulata,MH299298
150501,202,Lasallia pustulata,MH299136
150502,203,Lasallia pustulata,MH299143
150503,204,Lasallia pustulata,MH299137
150504,205,Lasallia pustulata,-
150505,206,Lasallia pustulata,-
150506,207,Lasallia pustulata,-
150507,208,Lasallia pustulata,-
150508,209,Lasallia pustulata,MH299165
150509,210,Lasallia pustulata,-
150510,211,Lasallia pustulata,-
150511,212,Lasallia pustulata,MH299182
150512,213,Lasallia pustulata,-
150513,214,Lasallia pustulata,MH299166
150514,215,Lasallia pustulata,MH299178
150515,216,Lasallia pustulata,MH299177
150516,217,Lasallia pustulata,MH299183
150517,218,Lasallia pustulata,MH299139
150518,219,Lasallia pustulata,-
150519,220,Lasallia pustulata,MH299291
150520,221,Lasallia pustulata,MH299169
150521,222,Lasallia pustulata,MH299176
150522,223,Lasallia pustulata,MH299170
150523,224,Lasallia pustulata,MH299167
150524,225,Lasallia pustulata,MH299185
150525,226,Lasallia pustulata,MH299173
150526,227,Lasallia pustulata,MH299179
150527,228,Lasallia pustulata,MH299175
150528,229,Lasallia pustulata,MH299184
150529,230,Lasallia pustulata,MH299172
150530,231,Lasallia pustulata,MH299171
150531,232,Lasallia pustulata,MH299168
150532,233,Lasallia pustulata,MH299180
150533,234,Lasallia pustulata,MH299186
150534,235,Lasallia pustulata,MH299174
150535,236,Lasallia pustulata,-
150536,237,Lasallia pustulata,-
150537,238,Lasallia pustulata,MH299181
150538,239,Lasallia pustulata,-
150539,240,Lasallia pustulata,-
150300,1,Lasallia hispanica,MH298924
150301,2,Lasallia hispanica,MH298926
150302,3,Lasallia hispanica,-
150303,4,Lasallia hispanica,MH298965
150304,5,Lasallia hispanica,MH298966
150305,6,Lasallia hispanica,MH298979
150306,7,Lasallia hispanica,MH299006
150307,8,Lasallia hispanica,MH299008
150308,9,Lasallia hispanica,MH298967
150309,10,Lasallia hispanica,MH298930
150310,11,Lasallia hispanica,MH299009
150311,12,Lasallia hispanica,MH298927
150312,13,Lasallia hispanica,MH299054
150313,14,Lasallia hispanica,MH298968
150314,15,Lasallia hispanica,MH299055
150315,16,Lasallia hispanica,MH298980
150316,17,Lasallia hispanica,MH299050
150317,18,Lasallia hispanica,MH298971
150318,19,Lasallia hispanica,MH298928
150319,20,Lasallia hispanica,MH299015
150320,21,Lasallia hispanica,MH299016
150321,22,Lasallia hispanica,MH299056
150322,23,Lasallia hispanica,MH299051
150323,24,Lasallia hispanica,MH299017
150324,25,Lasallia hispanica,MH299019
150325,26,Lasallia hispanica,MH299024
150326,27,Lasallia hispanica,MH299034
150327,28,Lasallia hispanica,MH299025
150328,29,Lasallia hispanica,MH299098
150329,30,Lasallia hispanica,MH299035
150330,31,Lasallia hispanica,MH299020
150331,32,Lasallia hispanica,-
150332,33,Lasallia hispanica,-
150333,34,Lasallia hispanica,MH299027
150334,35,Lasallia hispanica,MH299021
150335,36,Lasallia hispanica,MH299026
150336,37,Lasallia hispanica,MH299018
150337,38,Lasallia hispanica,MH299110
150338,39,Lasallia hispanica,-
150339,40,Lasallia hispanica,-
150340,41,Lasallia hispanica,MH299117
150341,42,Lasallia hispanica,MH299030
150342,43,Lasallia hispanica,MH299099
150343,44,Lasallia hispanica,MH299057
150344,45,Lasallia hispanica,MH299072
150345,46,Lasallia hispanica,MH299058
150346,47,Lasallia hispanica,MH299103
150347,48,Lasallia hispanica,MH299101
150348,49,Lasallia hispanica,MH299077
150349,50,Lasallia hispanica,-
150350,51,Lasallia hispanica,-
150351,52,Lasallia hispanica,MH299118
150352,53,Lasallia hispanica,MH299052
150353,54,Lasallia hispanica,MH299112
150354,55,Lasallia hispanica,MH299111
150355,56,Lasallia hispanica,-
150356,57,Lasallia hispanica,MH299104
150357,58,Lasallia hispanica,MH299059
150358,59,Lasallia hispanica,MH298972
150359,60,Lasallia hispanica,MH299060
150360,61,Lasallia hispanica,MH299061
150361,62,Lasallia hispanica,MH299062
150362,63,Lasallia hispanica,MH299063
150363,64,Lasallia hispanica,MH299064
150364,65,Lasallia hispanica,MH299031
150365,66,Lasallia hispanica,MH299046
150366,67,Lasallia hispanica,MH299097
150367,68,Lasallia hispanica,MH299079
150368,69,Lasallia hispanica,MH299106
150369,70,Lasallia hispanica,MH299078
150370,71,Lasallia hispanica,MH299105
150371,72,Lasallia hispanica,-
150372,73,Lasallia hispanica,MH299085
150373,74,Lasallia hispanica,MH299065
150374,75,Lasallia hispanica,MH299108
150375,76,Lasallia hispanica,MH299066
150376,77,Lasallia hispanica,MH299033
150377,78,Lasallia hispanica,MH299067
150378,79,Lasallia hispanica,MH299073
150379,80,Lasallia hispanica,MH299074
150380,81,Lasallia hispanica,MH298976
150381,82,Lasallia hispanica,MH299102
150382,83,Lasallia hispanica,MH298978
150383,84,Lasallia hispanica,-
150384,85,Lasallia hispanica,MH299053
150385,86,Lasallia hispanica,MH298975
150386,87,Lasallia hispanica,MH298931
150387,88,Lasallia hispanica,MH298942
150388,89,Lasallia hispanica,MH299037
150389,90,Lasallia hispanica,MH298973
150390,91,Lasallia hispanica,MH298929
150391,92,Lasallia hispanica,-
150392,93,Lasallia hispanica,MH298925
150393,94,Lasallia hispanica,MH298981
150394,95,Lasallia hispanica,MH298969
150395,96,Lasallia hispanica,MH298974
150396,97,Lasallia hispanica,MH299100
150397,98,Lasallia hispanica,MH298932
150398,99,Lasallia hispanica,MH298977
150399,100,Lasallia hispanica,MH298970
150400,101,Lasallia hispanica,-
150401,102,Lasallia hispanica,MH299094
150402,103,Lasallia hispanica,MH298944
150403,104,Lasallia hispanica,-
150404,105,Lasallia hispanica,-
150405,106,Lasallia hispanica,MH298934
150406,107,Lasallia hispanica,MH298984
150407,108,Lasallia hispanica,-
150408,109,Lasallia hispanica,-
150409,110,Lasallia hispanica,MH298952
150410,111,Lasallia hispanica,MH299080
150411,112,Lasallia hispanica,-
150412,113,Lasallia hispanica,MH298962
150413,114,Lasallia hispanica,MH299082
150414,115,Lasallia hispanica,MH298982
150415,116,Lasallia hispanica,MH298958
150416,117,Lasallia hispanica,-
150417,118,Lasallia hispanica,MH298983
150418,119,Lasallia hispanica,MH298946
150419,120,Lasallia hispanica,MH298948
150420,121,Lasallia pustulata,MH299086
150421,122,Lasallia pustulata,MH299010
150422,123,Lasallia pustulata,MH299036
150423,124,Lasallia pustulata,MH299011
150424,125,Lasallia pustulata,MH299075
150425,126,Lasallia pustulata,MH299113
150426,127,Lasallia pustulata,MH299087
150427,128,Lasallia pustulata,MH299121
150428,129,Lasallia pustulata,MH299076
150429,130,Lasallia pustulata,MH299032
150430,131,Lasallia pustulata,-
150431,132,Lasallia pustulata,MH299068
150432,133,Lasallia pustulata,MH299090
150433,134,Lasallia pustulata,MH299069
150434,135,Lasallia pustulata,-
150435,136,Lasallia pustulata,MH299043
150436,137,Lasallia pustulata,MH298959
150437,138,Lasallia pustulata,MH299070
150438,139,Lasallia pustulata,MH299119
150439,140,Lasallia pustulata,-
150440,141,Lasallia pustulata,MH299091
150441,142,Lasallia pustulata,MH299107
150442,143,Lasallia pustulata,MH299092
150443,144,Lasallia pustulata,MH298964
150444,145,Lasallia pustulata,MH298943
150445,146,Lasallia pustulata,MH299084
150446,147,Lasallia pustulata,-
150447,148,Lasallia pustulata,MH299048
150448,149,Lasallia pustulata,MH299049
150449,150,Lasallia pustulata,MH299040
150450,151,Lasallia pustulata,MH298956
150451,152,Lasallia pustulata,MH298954
150452,153,Lasallia pustulata,MH299012
150453,154,Lasallia pustulata,-
150454,155,Lasallia pustulata,MH298953
150455,156,Lasallia pustulata,-
150456,157,Lasallia pustulata,MH299095
150457,158,Lasallia pustulata,MH299013
150458,159,Lasallia pustulata,MH299120
150459,160,Lasallia pustulata,MH299038
150460,161,Lasallia pustulata,MH299089
150461,162,Lasallia pustulata,MH299044
150462,163,Lasallia pustulata,MH298941
150463,164,Lasallia pustulata,MH299081
150464,165,Lasallia pustulata,MH298957
150465,166,Lasallia pustulata,MH299093
150466,167,Lasallia pustulata,MH298955
150467,168,Lasallia pustulata,MH298933
150468,169,Lasallia pustulata,MH298937
150469,170,Lasallia pustulata,MH299039
150470,171,Lasallia pustulata,MH299014
150471,172,Lasallia pustulata,-
150472,173,Lasallia pustulata,MH298947
150473,174,Lasallia pustulata,-
150474,175,Lasallia pustulata,MH298949
150475,176,Lasallia pustulata,MH299041
150476,177,Lasallia pustulata,MH298938
150477,178,Lasallia pustulata,MH299028
150478,179,Lasallia pustulata,-
150479,180,Lasallia pustulata,-
150480,181,Lasallia pustulata,MH299071
150481,182,Lasallia pustulata,MH299042
150482,183,Lasallia pustulata,MH299083
150483,184,Lasallia pustulata,-
150484,185,Lasallia pustulata,-
150485,186,Lasallia pustulata,-
150486,187,Lasallia pustulata,-
150487,188,Lasallia pustulata,-
150488,189,Lasallia pustulata,-
150489,190,Lasallia pustulata,-
150490,191,Lasallia pustulata,-
150491,192,Lasallia pustulata,-
150492,193,Lasallia pustulata,-
150493,194,Lasallia pustulata,-
150494,195,Lasallia pustulata,-
150495,196,Lasallia pustulata,-
150496,197,Lasallia pustulata,-
150497,198,Lasallia pustulata,MH299045
150498,199,Lasallia pustulata,MH299096
150499,200,Lasallia pustulata,MH298963
150500,201,Lasallia pustulata,MH299088
150501,202,Lasallia pustulata,MH299022
150502,203,Lasallia pustulata,MH298961
150503,204,Lasallia pustulata,MH299115
150504,205,Lasallia pustulata,MH299116
150505,206,Lasallia pustulata,MH299007
150506,207,Lasallia pustulata,MH299109
150507,208,Lasallia pustulata,MH299114
150508,209,Lasallia pustulata,MH299029
150509,210,Lasallia pustulata,MH299023
150510,211,Lasallia pustulata,MH298960
150511,212,Lasallia pustulata,MH298945
150512,213,Lasallia pustulata,MH298940
150513,214,Lasallia pustulata,MH298950
150514,215,Lasallia pustulata,MH298985
150515,216,Lasallia pustulata,MH298935
150516,217,Lasallia pustulata,MH299001
150517,218,Lasallia pustulata,MH299047
150518,219,Lasallia pustulata,MH298989
150519,220,Lasallia pustulata,MH298951
150520,221,Lasallia pustulata,MH299002
150521,222,Lasallia pustulata,MH298988
150522,223,Lasallia pustulata,MH298992
150523,224,Lasallia pustulata,MH298939
150524,225,Lasallia pustulata,MH298936
150525,226,Lasallia pustulata,MH298986
150526,227,Lasallia pustulata,MH298993
150527,228,Lasallia pustulata,MH298997
150528,229,Lasallia pustulata,MH298987
150529,230,Lasallia pustulata,MH298998
150530,231,Lasallia pustulata,MH299003
150531,232,Lasallia pustulata,MH298996
150532,233,Lasallia pustulata,MH298990
150533,234,Lasallia pustulata,MH299005
150534,235,Lasallia pustulata,MH299004
150535,236,Lasallia pustulata,MH298991
150536,237,Lasallia pustulata,MH299000
150537,238,Lasallia pustulata,MH298995
150538,239,Lasallia pustulata,MH298999
