Acc,Locs,Notes1,Notes2,Coords,Lat,Long,Notes
GQ375318,Is1,,,"65°52’55’’ N, 18o03’03’’ W ",65.8819444,-18.0508333,
GQ375319,Sv4,,,"78°10’45’’ N, 16°18’24’’ E ",78.1791667,16.3066667,
GQ375320,A1,,,"62°14’47’’ S, 58°40’39’’ W ",-62.2463889,-58.6775,
GQ375323,Is1,,,"65°52’55’’ N, 18o03’03’’ W ",65.8819444,-18.0508333,
GQ375338,Sp1,,,"42°14’38’’ N, 06°00’33’’ W ",42.2438889,-6.0091667,
GQ375339,Tu1,,,"40°26’49’' N, 31°45’03’' W ",40.4469444,31.7508333,changed to E and positive
GQ375340,Tu1,,,"40°26’49’' N, 31°45’03’' W ",40.4469444,31.7508333,changed to E and positive
GQ375342,Sp1,,,"42°14’38’’ N, 06°00’33’’ W ",42.2438889,-6.0091667,
GQ375343,Sp1,,,"42°14’38’’ N, 06°00’33’’ W ",42.2438889,-6.0091667,
GQ375344,Sp1,,,"42°14’38’’ N, 06°00’33’’ W ",42.2438889,-6.0091667,
GQ375345,Sp1,,,"42°14’38’’ N, 06°00’33’’ W ",42.2438889,-6.0091667,
GQ375346,Kaz1,,,"53°16’44’’ N, 69°20’20’’ W ",53.2788889,69.3388889,changed to E and positive
GQ375348,Sp1,,,"42°14’38’’ N, 06°00’33’’ W ",42.2438889,-6.0091667,
GQ375349,Kaz1,,,"53°16’44’’ N, 69°20’20’’ W ",53.2788889,69.3388889,changed to E and positive
GQ375350,Sp1,,,"42°14’38’’ N, 06°00’33’’ W ",42.2438889,-6.0091667,
GQ375354,Fa2,,,"51°41’53’’S, 57°49’13’’ W ",-51.6980556,-57.8202778,
GQ375355,Fa2,,,"51°41’53’’S, 57°49’13’’ W ",-51.6980556,-57.8202778,
GQ375356,Fa2,,,"51°41’53’’S, 57°49’13’’ W ",-51.6980556,-57.8202778,
GQ375358,Fa2,,,"51°41’53’’S, 57°49’13’’ W ",-51.6980556,-57.8202778,
GQ375360,Fa2,,,"51°41’53’’S, 57°49’13’’ W ",-51.6980556,-57.8202778,
GQ375361,Fa2,,,"51°41’53’’S, 57°49’13’’ W ",-51.6980556,-57.8202778,
GQ375363,Ch1,,,"52°10’08"" S, 69°47'27"" W ",-52.1688889,-69.7908333,
GQ375386,Ch1,,,"52°10’08"" S, 69°47'27"" W ",-52.1688889,-69.7908333,
JQ314481,C-Spain,2199,,"41°41’20” N, 2°46’’39”W ",41.6888889,-2.7775,
JQ314482,I-Spain,2221,,"41°7’35” N, 2°7’37”W ",41.1263889,-2.1269444,
JQ314483,,2198,multiple sites in Spain,,,,
JQ314484,Z-Spain,2209,,"40°43’55” N, 2°12’45”W ",40.7319444,-2.2125,
JQ314485,,2201,multiple sites in Spain,,,,
JQ314486,I-Spain,2225,,"41°7’35” N, 2°7’37”W ",41.1263889,-2.1269444,
JQ314487,Z-Spain,2210,,"40°43’55” N, 2°12’45”W ",40.7319444,-2.2125,
