Taxon,Coll,Location,Actin,Acc,Substrate,CoordsFromPN2006,Lat,Long
Anaptychia crinalis,2595,"Long Pt., MB",,EU416214,soil,,,
Evernia mesomorpha,3200-1,"Sandilands Rd,Trail 20, MB",DQ086098,DQ086105,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-2,"Sandilands Rd,Trail 20, MB",DQ086102,DQ086104,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-3,"Sandilands Rd,Trail 20, MB",EU416203,,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-4,"Sandilands Rd,Trail 20, MB",,DQ086103,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-5,"Sandilands Rd,Trail 20, MB",EU416204,,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-6,"Sandilands Rd,Trail 20, MB",,DQ086106,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-80,"Sandilands Rd,Trail 20, MB",EU416205,EF457764,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-86,"Sandilands Rd,Trail 20, MB",DQ086099,DQ086107,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-87,"Sandilands Rd,Trail 20, MB",,EF457773,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-92,"Sandilands Rd,Trail 20, MB",,EF457762,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-98,"Sandilands Rd,Trail 20, MB",DQ086096,,bark,49°20’3.8” N 96°14’45.3” W ,49.3343889,-96.2459167
E. mesomorpha,3200-207,"Whitemouth, Trail 31, MB",DQ086097,,bark,49°19’44.5” N 96°7’38.2” W ,49.3290278,-96.1272778
E. mesomorpha,3200-214,"Whitemouth, Trail 31, MB",DQ086100,EF457756,bark,49°19’44.5” N 96°7’38.2” W ,49.3290278,-96.1272778
E. mesomorpha,3200-217,"Whitemouth, Trail 31, MB",DQ086101,EF457757,bark,49°19’44.5” N 96°7’38.2” W ,49.3290278,-96.1272778
E. mesomorpha,3200-265,"Whitemouth, Trail 31, MB",EU416210,EF457775,bark,49°19’44.5” N 96°7’38.2” W ,49.3290278,-96.1272778
E. mesomorpha,3200-271,"Whitemouth, Trail 31, MB",EU416213,EF457776,bark,49°19’44.5” N 96°7’38.2” W ,49.3290278,-96.1272778
E. mesomorpha,5794,"Churchill Lodge, MB",EU416207,EF457759,bark,,,
E. mesomorpha,6622,"W of Ignace, ON",,EF457760,bark,,,
E. mesomorpha,6662,"W of Upsala, ON",EU416208,EF457766,bark,,,
E. mesomorpha,6718,"E of Longlac, ON",,EF457765,bark,,,
E. mesomorpha,6757,"N of Driftwood, ON",,EF457761,bark,,,
E. mesomorpha,7243,"NW of Schreiber, ON",EU416209,EF457758,bark,,,
E. mesomorpha,7301,"E of Dinorwic, ON",EU416206,EF457763,bark,,,
E. divaricata,7478,"Wapusk Natl. Park, MB",,EU416217,,,,
Everniastrum catawbiense,5166,"Fundy Natl. Park, NB",EU416212,EF457770,,,,
Imshaugia aleurites,5069a,"S of Noochewayuan Ck, MB",,EF457774,,,,
I. aleurites,6854,"Victoria Co., NB",,EF457769,,,,
Melanohalea exasperatula,5297,"Trail 16, Sandilands Pk, MB",,EU416216,bark,,,
Physcia aipolia,2768,"Sandilands Prov. Pk, MB",,EU416222,bark,,,
Physconia detersa,4519,"S of East Braintree, MB",,EU416221,bark,,,
Pseudevernia consocians,4654,"Long Pt., MB",,EF457772,,,,
P. consocians,5581,"Long Pt., MB",,EF457767,,,,
P. consocians,6142,"Long Pt., MB",,EF457771,,,,
P. consocians,7226,"NW of Sault Ste Marie, ON",,EF457768,,,,
P. consocians,7278,"E of Nipegon River, ON",EU416211,EF457777,,,,
P. consocians,DG2010,"Easterville Rd, MB",,EU416224,,,,
P. consocians,DG2210,"Hwy 60, Grand Rapids, MB",,EU416218,,,,
Punctelia subrudecta,5236,"Trail 20, Sandilands Pk, MB",,EU416219,bark,,,
Ramalina dilacerata,4668,"Long Pt., MB",,EU416220,bark,,,
Usnea glabrata,5228,"Trail 20, Sandilands Pk, MB",,EU416223,bark,,,
Xanthoparmelia chlorochroa,5284,"Spruce Woods Prov. Pk, MB",,EU416215,soil,,,
