Acc,Genus,Species,Site,Coords,Lat,Long
JX144651,Usnea,sp.,F1,,,
JX144652,Usnea,xanthopoga,F2,,,
JX144653,Usnea,pusilla,F3,,,
JX144654,Usnea,articulata,F4,,,
JX144655,Usnea,xanthopoga,F5,,,
JX144656,Usnea,ciliifera,F6,,,
JX144657,Usnea,ciliifera,F7,,,
JX144658,Usnea,pusilla,F8,,,
KT715659,Usnea,inermis,D1,43 11'S 171 44'E,-43.1833333,171.7333333
KT715662,Usnea,ciliifera,F11,,,
KT715660,Usnea,inermis,D2,43 11'S 171 44'E,-43.1833333,171.7333333
KT715661,Usnea,torulosa,D5,43 11'S 171 44'E,-43.1833333,171.7333333
KM369437,Usnea,ciliifera,F10,,,
KM369611,Usnea,inermis,F12,,,
KM369612,Usnea,torulosa,F13,,,
KM369600,Usnea,inermis,D3,43 11'S 171 44'E,-43.1833333,171.7333333
KM369607,Usnea,torulosa,D4,43 11'S 171 44'E,-43.1833333,171.7333333
