Acc,Location,Coords,Lat,Long
AJ315855,Lagoon Island,,,
AJ318779,Lagoon Island,,,
AJ431574,Rothera Point,,,
AJ431575,Rothera Point,,,
AJ431576,Charcot Island,69 57'S 75 25'W,-69.95,-75.4166667
AJ431577,Charcot Island,69 57'S 75 25'W,-69.95,-75.4166667
AJ431591,Coffer Island,60 45'S 45 09'W,-60.75,-45.15
AJ431578,Livingston Island,62 41'S 60 23'W,-62.6833333,-60.3833333
AJ431579,Thurston Island,72 28'S 97 40'W,-72.4666667,-97.6666667
AJ431580,Harrow Peak,74 04'S 164 45'E,-74.066666,164.75
AJ431581,Lagoon Island,,,
AJ431582,Lagoon Island,,,
AJ315854,Rothera Point,,,
AJ318780,Rothera Point,,,
AJ431584,Lagoon Island,,,
AJ431583,Lagoon Island,,,
AJ431589,Lagoon Island,,,
AJ431588,Rothera Point,,,
AJ431585,Lagoon Island,,,
AJ431586,Lagoon Island,,,
AJ431590,Lagoon Island,,,
AJ431587,Lagoon Island,,,
