Investigation_sites,Herbarium_ID,,Mycobiont,Trebouxia_Species,Trebouxia_ITS,Trebouxia-PSBJL,Asterochloris_Species,Asterochloris_ITS,Chloroidium_ITS,Chloroidium_PSBJL,Other_Algae_ITS,Substrate
Tabernas/Spain,T51457 ,,Psora decipiens,T. sp. URa10,KF907529,KF907609,-,-,-,-,-,terricolous
Tabernas/Spain,T51458,,Psora decipiens,T. sp. URa8,KF907531,KF907610,-,-,-,-,-,terricolous
Tabernas/Spain,T51459,,Squamarina lentigera,T. sp. URa6,KF907528,KF907611,-,-,-,-,-,terricolous
Tabernas/Spain,T51460,,Psora decipiens,T. sp. URa6,KF907524,KF907612,-,-,-,-,-,terricolous
Tabernas/Spain,T51461,,Psora decipiens,T. sp. URa6,KF907526,KF907613,-,-,-,-,-,terricolous
Tabernas/Spain,T51462,,Psora decipiens,T. sp. URa6,KF907522,KF907614,-,-,-,-,-,terricolous
Tabernas/Spain,T51463,,Psora decipiens,T. sp. URa8,KF907532,KF907615,-,-,-,-,-,terricolous
Tabernas/Spain,T51464,,Psora decipiens,T. sp. URa8,KF907530,KF907616,-,-,-,-,-,terricolous
Tabernas/Spain,T51465,,Psora decipiens,T. sp. URa6,KF907525,KF907617,-,-,-,-,-,terricolous
Tabernas/Spain,T51466,,Psora decipiens,T. sp. URa8,KF907533,KF907618,-,-,-,-,-,terricolous
Tabernas/Spain,Ps06/ALM-071*,,Psora decipiens,T. sp. URa6,KF907523,KF907580,-,-,-,-,-,terricolous
Tabernas/Spain,Ps07/ALM-073*,,Psora decipiens,T. sp. URa6,KF907548,KF907581,-,-,-,-,-,terricolous
Tabernas/Spain,Ps08/ALM-075*,,Psora decipiens,T. sp. URa6,KF907549,KF907582,-,-,-,-,-,terricolous
Tabernas/Spain,Ps09/ALM-077*,,Psora decipiens,T. sp. URa6,KF907521,KF907583,-,-,-,-,-,terricolous
Tabernas/Spain,Ps10/ALM-079*,,Psora decipiens,T. asymmetrica,KF907518,KF907584,-,-,-,-,-,terricolous
Gynge Alvar/Sweden,T51467,,Psora decipiens,-,-,-,A. sp. URa17,KF907652,-,-,KF907691,terricolous
Gynge Alvar/Sweden,T51468,,Psora decipiens,T. impressa,KF907563,KF907619,A. sp. URa17,KF907653,-,-,KF907692,terricolous
Gynge Alvar/Sweden,T51469,,Psora decipiens,T. sp. URa11,KF907564,KF907620,A. sp. URa16,KF907654,-,-,-,terricolous
Gynge Alvar/Sweden,T51470,,Psora decipiens,-,-,-,A. sp. URa17,KF907655,-,-,-,terricolous
Gynge Alvar/Sweden,T51471,,Psora decipiens,T. sp. URa2,KF907565,KF907621,A. sp. URa17,KF907656,-,-,-,terricolous
Gynge Alvar/Sweden,T51473,,Psora decipiens,-,-,-,-,-,-,KF907676,-,terricolous
Gynge Alvar/Sweden,Ps16/GYN-030*,,Psora decipiens,T. sp. URa12,KF907552,KF907589,A. sp. URa17,KF907647,-,-,-,terricolous
Gynge Alvar/Sweden,Ps17/GYN-056*,,Psora decipiens,-,-,-,A. sp. URa17,KF907648,-,-,-,terricolous
Gynge Alvar/Sweden,Ps18/GYN-037*,,Psora decipiens,-,-,-,A. sp. URa17,KF907649,-,-,-,terricolous
Gynge Alvar/Sweden,Ps19/GYN-051*,,Psora decipiens,T. jamesii,KF907553,KF907590,A. sp. URa17,KF907650,-,-,-,terricolous
Gynge Alvar/Sweden,Ps20/GYN-006*,,Psora decipiens,T. sp. URa12,KF907554,KF907591,A. sp. URa17,KF907651,-,-,-,terricolous
Hochtor/Austria,T51474,,Psora decipiens,T. sp. URa6,KF907566,KF907622,A. sp. URa14,KF907657,-,KF907677,KF907693,terricolous
Hochtor/Austria,T51475,,Psora decipiens,T. impressa,KF907542,KF907623,-,-,-,KF907678,-,terricolous
Hochtor/Austria,T51476,,Psora decipiens,-,-,-,-,-,-,KF907679,KF907694,terricolous
Hochtor/Austria,T51477,,Fulgensia. bracteata ssp. deformis,T. sp. URa4,KF907509,KF907624,A. sp. URa15,KF907658,-,-,-,terricolous
Hochtor/Austria,T51478,,Peltigera rufescens,T. impressa,KF907540,KF907625,A. sp. URa14,KF907659,-,-,-,terricolous
Hochtor/Austria,T51479,,Psora decipiens,T. sp. URa11,KF907567,KF907626,-,-,-,KF907680,-,terricolous
Hochtor/Austria,T51480,,Buellia elegans,T. sp. URa2,KF907568,KF907627,-,-,KF907672,-,-,terricolous
Hochtor/Austria,T51481,,Psora decipiens,T. sp. URa6,KF907569,KF907628,-,-,KF907673,KF907681,KF907695,terricolous
