Voucher,Location,Host,Macc,Tsp,Tacc,Asp,Aacc,Coords,Lat,Long
UR00022,"Chile, T. d. Fuego, I.  Navarino",Porpidia sp.,KX120232,T. sp. URa2,KX120247,A. sp. URa18,KX120191," 54.97°S, 67.64°W",-54.97,-67.64
UR00032,"Chile, T. d. Fuego, I.  Navarino",Porpidia sp.,KX120233,-,,A. sp. URa18,KX120188," 54.97°S, 67.64°W",-54.97,-67.64
UR00027,"Chile, T. d. Fuego, I.  Navarino",Porpidia sp.,KX120234,T. sp. URa2,KX120248,A. sp. UR00027,KX120195," 54.97°S, 67.64°W",-54.97,-67.64
UR00079,"Argentina, T. d. Fuego, Ushuaia",Porpidia sp.,KX120235,-,,A. sp. URa20,KX120196,,,
T39740,Austria,P. macrocarpa,EU263923,,,,,,,
,Norway,P. flavocruenta,KJ162274,,,,,,,
,Faroe Islands,P. sp. Orange17168,KJ162281,,,,,,,
UR00193,"Argentina, Esquel",Porpidia sp.,KX120236,-,,A. cf. woessiae,KX120199,,,
UR00123,"Chile, PN Torres d. Paine",Porpidia sp.,KX120237,T. sp. URa21,KX120250,A. sp. UR00123,KX120197,,,
,Turkey,P. crustulata,HQ605941,,,,,,,
,Norway,P. sp. Orange19095,KJ162289,,,,,,,
,Faroe Islands,P. islandica,KJ162313,,,,,,,
,Faroe Islands,P. sp. Orange17174,KJ162295,,,,,,,
,China,P. sp. HL2015,KR069080,,,,,,,
UR00014,"Chile, T. d. Fuego, I.  Navarino",Porpidia sp.,KX120229,T. sp. URa23,KX120245,A. sp. URa18,KX120183," 54.97°S, 67.64°W",-54.97,-67.64
UR00016,"Chile, T. d. Fuego, I.  Navarino",Porpidia sp.,KX120230,,,,," 54.97°S, 67.64°W",-54.97,-67.64
UR00052,"Chile, T. d. Fuego, I.  Navarino",Porpidia sp.,KX120231,T. sp. URa23,KX120240,A. sp. URa18,KX120182," 54.97°S, 67.64°W",-54.97,-67.64
,Austria,P. contraponenda,KJ162298,,,,,,,
,"USA, Tennessee",P. sp. Tripp3453,KJ162310,,,,,,,
,"USA, Maine",P. sp. Harris55558,KJ162311,,,,,,,
UR00012,"Chile, T. d. Fuego, I.  Navarino",Porpidia sp.,KX120227,T. sp. URa23,KX120241,A. sp. URa18,KX120177," 54.97°S, 67.64°W",-54.97,-67.64
UR00029,"Chile, T. d. Fuego, I.  Navarino",Porpidia sp.,KX120228,-,,A. sp. URa18,KX120190," 54.97°S, 67.64°W",-54.97,-67.64
,Turkey,P. musiva,HQ605939,,,,,,,
,Ireland,P. cineroatra,KJ162306,,,,,,,
,"UK, Wales",P. irrigua,KJ162302,,,,,,,
,"USA, North Carolina",P. sp. Lendemer297120,KJ162304,,,,,,,
,"UK, Wales",P. striata,KJ162316,,,,,,,
UR00008,"Argentina, T. d. Fuego, Ushuaia",L. lapicida A,KX120202,,,,,,,
UR00104,"Chile, PN Torres d. Paine",L. lapicida A,KX120203,,,,,,,
,-,L. lapicida Lendemer,HQ650665,,,,,,,
,Norway,L. lapicida v. lapicida,KJ162333,,,,,,,
,-,L. lapicida v. pantherina,AF332118,,,,,,,
UR00002,"Argentina, T. d. Fuego, Ushuaia",L. lapicida B,KX120200,,,,,,,
UR00017,"Chile, T. d. Fuego, C.  Bandera",L. lapicida B,KX120201,,,,," 54.97°S, 67.64°W",-54.97,-67.64
T42745,Austria,L. lapicida v. lapicida,GU074425,,,,,,,
UR00006,"Argentina, T. d. Fuego, Ushuaia",Lecidea. sp.,KX120204,,,,,,,
,Austria,L. tesselata,EU263926,,,,,,,
UR00138,"Argentina, PN Los Glaciares",L. tesselata,KX120213,,,,,,,
,-,L. tesselata,HQ650671,,,,,,,
,Sweden,L. auriculata,GU074427,,,,,,,
UR00010,"Argentina, T. d. Fuego, Ushuaia",L. auriculata,KX120212,,,,,,,
,Faroe Islands,P. rugosa,KJ162320,,,,,,,
,"USA, North Carolina",P. albocaerulescens,KJ653476,,,,,,,
,"USA, West Virginia",P. deglii,KJ653480,,,,,,,
,"UK, Wales",P. hydrophila,KJ162319,,,,,,,
,"USA, South Dakota",L. sp. JCL1165,EU263929,,,,,,,
,"Antarctica, Mac Robertson Land",L. polypycnidophora,GU074441,,,,,,,
T33619,"Antarctica, Victoria Land",L. sp. UCR1,EU263927,,,,,,,
,"Antarctica, Dronning Maud Land",L. andersonii,GU074445,,,,,,,
,Antarctic Peninsula,L. atrobrunnea,GU074457,,,,,,,
UR00200,"Argentina, Esquel",L. atrobrunnea,KX120206,,,,,,,
,Greenland,L. atrobrunnea,EU259897,,,,,,,
,"USA, California",L. atrobrunnea saxosa,GU074456,,,,,,,
,Norway,P. melinodes,KJ162326,,,,,,,
,Norway,P. flavicunda,KJ162332,,,,,,,
UR00135,"Argentina, PN Los Glaciares",Lecidea sp.,KX120209,,,,,,,
UR00195,"Argentina, Esquel",Lecidea auriculata,KX120210,,,,,,,
T43427,Norway,Lecidea sp.,GU074426,,,,,,,
UR00177,"Argentina, PN Los Glaciares",Lecidea sp.,KX120211,,,,,,,
T40136,Austria,L. fuscoatra,EU263922,,,,,,,
,-,L. fuscoatra,HQ650662,,,,,,,
T39641,Austria,L. confluens,EU263921,,,,,,,
,-,P. speirea,HQ650631,,,,,,,
UR00013,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120214,T. sp. URa23,KX120242,A. sp. URa19,KX120198," 54.97°S, 67.64°W",-54.97,-67.64
UR00015,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120215,T. sp. URa23,KX120243,A. sp. URa18,KX120184," 54.97°S, 67.64°W",-54.97,-67.64
UR00018,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120216,T. sp. URa24,KX120249,A. sp. URa18,KX120193," 54.97°S, 67.64°W",-54.97,-67.64
UR00020,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120217,T. sp. URa2,KX120252,A. sp. URa18,KX120178," 54.97°S, 67.64°W",-54.97,-67.64
UR00023,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120226,T. sp. URa22,KX120251,A. sp. URa18,KX120189," 54.97°S, 67.64°W",-54.97,-67.64
UR00030,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120218,T. sp. URa4,KX120252,A. sp. URa18,KX120185," 54.97°S, 67.64°W",-54.97,-67.64
UR00031,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120219,-,,A. sp. URa18,KX120179," 54.97°S, 67.64°W",-54.97,-67.64
UR00043,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120220,T. sp. URa23,KX120246,A. sp. URa18,KX120186," 54.97°S, 67.64°W",-54.97,-67.64
UR00044,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120221,-,,A. sp. URa18,KX120180," 54.97°S, 67.64°W",-54.97,-67.64
UR00046,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120222,T. impressa,KX120238,A. sp. URa18,KX120194," 54.97°S, 67.64°W",-54.97,-67.64
UR00047,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120223,T. impressa,KX120239,A. sp. URa18,KX120181," 54.97°S, 67.64°W",-54.97,-67.64
UR00048,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120224,T. sp. URa23,KX120244,A. sp. URa18,KX120192," 54.97°S, 67.64°W",-54.97,-67.64
UR00056,"Chile, T. d. Fuego, I.  Navarino",P. navarino,KX120225,T. sp. URa24,KX120254,A. sp. URa18,KX120187," 54.97°S, 67.64°W",-54.97,-67.64
,Ireland,P. tuberculosa,KJ162322,,,,,,,
,"USA, California",L. fuscoatrina,EU259900,,,,,,,
T42730,Austria,L. obluridata,GU074423,,,,,,,
T42156,Austria,L. silacea,GU074424,,,,,,,
UR00129,"Argentina, PN Los Glaciares",Lecidea sp.,KX120205,,,,,,,
UR00196,"Argentina, Esquel",Lecidea sp.,KX120208,,,,,,,
UR00212,"Argentina, Esquel",Lecidea sp.,KX120207,,,,,,,
,Sweden,L. plana,EU259903,,,,,,,
,"Antarctica, Princ. Elisabeth Land",L. cancriformis,GU074440,,,,,,,
T39660,Austria,Farnoldia jurana subsp. jurana,EU263920,,,,,,,
