Acc,Substrate,Species,Type_Culture,Coords,Lat,Long
KT819917,ground,,,,,
KT819918,ground,Trebouxia solaris,SAG 2504 ,44°54′55.7′′N 35°13′32.3′′E,44.9154722,35.2256389
KT819919,ground,Trebouxiea cretacea,SAG 2503 ,44°55′35.9′′N 35°13′02.8′′E,44.9266389,35.2174444
KT819920,ground,,,,,
KT819921,ground,,,,,
KT819922,ground,,,,,
KT819923,ground,,,,,
KT819924,ground,,,,,
KT819925,ground,,,,,
KT819926,ground,,,,,
KT819927,ground,,,,,
KT819928,ground,,,,,
KT819929,ground,,,,,
KT819930,ground,,,,,
KT819931,ground,,,,,
KT819932,ground,,,,,
KT819933,ground,,,,,
KT819934,ground,,,,,
KT819935,ground,,,,,
KT819936,ground,,,,,
KT819937,ground,,,,,
KT819938,ground,,,,,
KT819939,ground,,,,,
KT819940,ground,,,,,
KT819941,ground,,,,,
KT819942,ground,,,,,
KT819943,ground,,,,,
KT819944,ground,,,,,
KT819945,ground,Trebouxia vagua,SAG 2505 ,44°55′35.9′′N 35°13′03.6′′E,44.9266389,35.2176667
KT819946,ground,,,,,
KT819947,ground,,,,,
KT819948,ground,,,,,
KT819949,ground,,,,,
KT819950,ground,,,,,
KT819951,ground,,,,,
KT819952,ground,,,,,
KT819953,ground,,,,,
KT819954,ground,,,,,
KT819955,ground,,,,,
KT819956,ground,,,,,
KT819957,bark,,,,,
KT819958,ground,,,,,
KT819959,ground,,,,,
KT819960,ground,,,,,
KT819961,ground,,,,,
KT819962,bark,,,,,
KT819963,bark,,,,,
KT819964,ground,,,,,
KT819965,ground,,,,,
KT819966,ground,,,,,
KT819967,ground,,,,,
KT819968,ground,,,,,
KT819969,ground,,,,,
KT819970,ground,,,,,
KT819971,ground,,,,,
KT819972,ground,,,,,
KT819973,ground,,,,,
KT819974,ground,,,,,
KT819975,ground,,,,,
KT819976,ground,,,,,
KT819977,ground,,,,,
KT819978,ground,,,,,
KT819979,ground,,,,,
KT819980,ground,,,,,
KT819981,ground,,,,,
KT819982,ground,,,,,
KT819983,ground,,,,,
KT819984,ground,,,,,
KT819985,ground,,,,,
KT819986,ground,,,,,
KT819987,ground,,,,,
KT819988,ground,,,,,
KT819989,ground,,,,,
KT819990,ground,,,,,
KT819991,ground,,,,,
KT819992,bark,,,,,
KT819993,bark,,,,,
KT819994,bark,,,,,
