X,Y,Name,description,Sample_ID_new,DNA_ID_GenBank_NO,chemotype,lineage,Phenotype,Country,GPS_coordinates,Haplotype_number,LatDeg,LongDeg,Lat,Long,Acc_No_1,Acc_No_2
-150.5041833,68.08975,T. vermicularis v. subuliformis,"Sample ID new: USA_Summit_213<br>DNA ID/GenBank NO: 213<br>chemotype: UV+<br>lineage: lineage A<br>Phenotype: cylindrical, UV+<br>Country: U.S.A.<br>GPS coordinates: 68.0897500°, -150.5041833°<br>Haplotype number: H1",USA_Summit_213,213,UV+,lineage A,"cylindrical, UV+",U.S.A.,"68.0897500°, -150.5041833°",H1,68.08975,-150.5041833,68.08975,-150.5041833,KY559136,
-69.2,77.48333,T. vermicularis v. subuliformis,"Sample ID new: Greenland_ Qaanaaq_263<br>DNA ID/GenBank NO: 263<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: Greenland<br>GPS coordinates: 77.4833300°,  -069.2000000°<br>Haplotype number: H1",Greenland_ Qaanaaq_263,263,UV+,lineage C,"cylindrical, UV+",Greenland,"77.4833300°, -069.2000000°",H1,77.48333,-69.2,77.48333,-69.2,KY559146,
-75.9333333,-11.2833333,"flat, UV+","Sample ID new: Peru_Tarma_392.2<br>DNA ID/GenBank NO: 392.2<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: flat, UV+<br>Country: Peru<br>GPS coordinates: -11.2833333°, -075.9333333°<br>Haplotype number: H1",Peru_Tarma_392.2,392.2,UV+,lineage C,"flat, UV+",Peru,"-11.2833333°, -075.9333333°",H1,-11.2833333,-75.9333333,-11.2833333,-75.9333333,,
65.52027783,61.07833333,T. vermicularis v. subuliformis,"Sample ID new: Russia_Ural_284.1<br>DNA ID/GenBank NO: 284.1<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: Russia<br>GPS coordinates: 61°04.70000', 065°31.21667'<br>Haplotype number: H1",Russia_Ural_284.1,284.1,UV+,lineage C,"cylindrical, UV+",Russia,"61°04.70000', 065°31.21667'",H1,61 04.70000',065 31.21667',61.078333,65.520278,KY559226,
65.52027783,61.07833333,"cylindrical, UV-","Sample ID new: Russia_Ural_284.2<br>DNA ID/GenBank NO: 284.2<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Russia<br>GPS coordinates: 61°04.70000', 065°31.21667'<br>Haplotype number: H1",Russia_Ural_284.2,284.2,UV-,lineage C,"cylindrical, UV-",Russia,"61°04.70000', 065°31.21667'",H1,61 04.70000',065 31.21667',61.078333,65.520278,KY559194,
-154.61008,67.3382151,T. vermicularis v. subuliformis,"Sample ID new: USA_Kurupa_209.2<br>DNA ID/GenBank NO: 209.2<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: U.S.A.<br>GPS coordinates: 67.3382151°, -154.6100800°<br>Haplotype number: H1",USA_Kurupa_209.2,209.2,UV+,lineage C,"cylindrical, UV+",U.S.A.,"67.3382151°, -154.6100800°",H1,67.3382151,-154.61008,67.3382151,-154.61008,KY559108,
-77.1666667,-9.8333333,"flat, UV+","Sample ID new: Peru_Bolognesi_393<br>DNA ID/GenBank NO: 393<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: flat, UV+<br>Country: Peru<br>GPS coordinates:  -09.8333333°, -077.1666667°<br>Haplotype number: H1",Peru_Bolognesi_393,393,UV+,lineage C,"flat, UV+",Peru," -09.8333333°, -077.1666667°",H1,-9.8333333,-77.1666667,-9.8333333,-77.1666667,,
74.3213889,70.5166667,T. vermicularis v. subuliformis,"Sample ID new: Russia_Gydan_331<br>DNA ID/GenBank NO: 331<br>chemotype: UV+<br>lineage: lineage A<br>Phenotype: cylindrical, UV+<br>Country: Russia<br>GPS coordinates: 70.5166667°, 074.3213889°<br>Haplotype number: H9",Russia_Gydan_331,331,UV+,lineage A,"cylindrical, UV+",Russia,"70.5166667°, 074.3213889°",H9,70.5166667,74.3213889,70.5166667,74.3213889,KY559228,
-173.83806,52.10667,"cylindrical, UV-","Sample ID new: USA_Aleutian_286<br>DNA ID/GenBank NO: 286<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: U.S.A.<br>GPS coordinates: 52.1066700°, -173.8380600°<br>Haplotype number: H1",USA_Aleutian_286,286,UV-,lineage C,"cylindrical, UV-",U.S.A.,"52.1066700°, -173.8380600°",H1,52.10667,-173.83806,52.10667,-173.83806,KY559150,
-45.4166667,61.1666667,T. vermicularis v. subuliformis,"Sample ID new: Greenland_Narssarsuaq_260<br>DNA ID/GenBank NO: 260<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: Greenland<br>GPS coordinates: 61.1666667°, -045.4166667°<br>Haplotype number: H1",Greenland_Narssarsuaq_260,260,UV+,lineage C,"cylindrical, UV+",Greenland,"61.1666667°, -045.4166667°",H1,61.1666667,-45.4166667,61.1666667,-45.4166667,KY559145,
-77.6833333,-9.55,"flat, UV-","Sample ID new: Peru_Huaraz_394.2<br>DNA ID/GenBank NO: 394.2<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: flat, UV-<br>Country: Peru<br>GPS coordinates: -09.5500000°, -077.6833333°<br>Haplotype number: H1",Peru_Huaraz_394.2,394.2,UV-,lineage C,"flat, UV-",Peru,"-09.5500000°, -077.6833333°",H1,-9.55,-77.6833333,-9.55,-77.6833333,,
74.0094444,69.8383333,T. vermicularis v. subuliformis,"Sample ID new: Russia_Gydan_332<br>DNA ID/GenBank NO: 332<br>chemotype: UV+<br>lineage: lineage A<br>Phenotype: cylindrical, UV+<br>Country: Russia<br>GPS coordinates: 69.8383333°, 074.0094444°<br>Haplotype number: H10",Russia_Gydan_332,332,UV+,lineage A,"cylindrical, UV+",Russia,"69.8383333°, 074.0094444°",H10,69.8383333,74.0094444,69.8383333,74.0094444,KY559237,
-163.403,54.836,"cylindrical, UV-","Sample ID new: USA_Aleutian_287.1<br>DNA ID/GenBank NO: 287.1<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: U.S.A.<br>GPS coordinates: 54.8360000°,  -163.4030000°<br>Haplotype number: H1",USA_Aleutian_287.1,287.1,UV-,lineage C,"cylindrical, UV-",U.S.A.,"54.8360000°,  -163.4030000°",H1,54.836,-163.403,54.836,-163.403,KY559151,
-163.403,54.836,T. vermicularis v. subuliformis,"Sample ID new: USA_Aleutian_287.2<br>DNA ID/GenBank NO: 287.2<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: U.S.A.<br>GPS coordinates: 54.8360000°,  -163.4030000°<br>Haplotype number: H1",USA_Aleutian_287.2,287.2,UV+,lineage C,"cylindrical, UV+",U.S.A.,"54.8360000°,  -163.4030000°",H1,54.836,-163.403,54.836,-163.403,KY559152,
-163.403,54.836,T. vermicularis v. subuliformis,"Sample ID new: USA_Aleutian_288<br>DNA ID/GenBank NO: 288<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: U.S.A.<br>GPS coordinates: 54.8360000°,  -163.4030000°<br>Haplotype number: H1",USA_Aleutian_288,288,UV+,lineage C,"cylindrical, UV+",U.S.A.,"54.8360000°,  -163.4030000°",H1,54.836,-163.403,54.836,-163.403,KY559239,
-32.4447278,83.6156417,T. vermicularis v. subuliformis,"Sample ID new: Greenland_CapeMorrisJesup_262<br>DNA ID/GenBank NO: 262<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: Greenland<br>GPS coordinates:  83.6156417°, -032.4447278°<br>Haplotype number: H5",Greenland_CapeMorrisJesup_262,262,UV+,lineage C,"cylindrical, UV+",Greenland," 83.6156417°, -032.4447278°",H5,83.6156417,-32.4447278,83.6156417,-32.4447278,KY559110,
-77.1666667,-9.8333333,"flat, UV-","Sample ID new: Peru_Ancash_395.2<br>DNA ID/GenBank NO: 395.2<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: flat, UV-<br>Country: Peru<br>GPS coordinates:  -09.8333333°, -077.1666667°<br>Haplotype number: H1",Peru_Ancash_395.2,395.2,UV-,lineage C,"flat, UV-",Peru," -09.8333333°, -077.1666667°",H1,-9.8333333,-77.1666667,-9.8333333,-77.1666667,,
71.3791667,71.3061111,"cylindrical, UV-","Sample ID new: Russia_Yamal_333<br>DNA ID/GenBank NO: 333<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Russia<br>GPS coordinates:  71.3061111°, 071.3791667°<br>Haplotype number: H1",Russia_Yamal_333,333,UV-,lineage C,"cylindrical, UV-",Russia," 71.3061111°, 071.3791667°",H1,71.3061111,71.3791667,71.3061111,71.3791667,KY559161,KY559106
-164.96745,54.12237,"cylindrical, UV-","Sample ID new: USA_Aleutian_291.1<br>DNA ID/GenBank NO: 291.1<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: U.S.A.<br>GPS coordinates:  54.1223700°, -164.9674500°<br>Haplotype number: H1",USA_Aleutian_291.1,291.1,UV-,lineage C,"cylindrical, UV-",U.S.A.," 54.1223700°, -164.9674500°",H1,54.12237,-164.96745,54.12237,-164.96745,KY559153,
-164.96745,54.12237,T. vermicularis v. subuliformis,"Sample ID new: USA_Aleutian_291.2<br>DNA ID/GenBank NO: 291.2<br>chemotype: UV+<br>lineage: lineage A<br>Phenotype: cylindrical, UV+<br>Country: U.S.A.<br>GPS coordinates: 54.12237, -164.96745<br>Haplotype number: H9",USA_Aleutian_291.2,291.2,UV+,lineage A,"cylindrical, UV+",U.S.A.,"54.12237, -164.96745",H9,54.12237,-164.96745,54.12237,-164.96745,KY559154,
71.3358333,68.3388889,T. vermicularis v. subuliformis,"Sample ID new: Russia_Yamal_334<br>DNA ID/GenBank NO: 334<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: Russia<br>GPS coordinates:  68.3388889°, 071.3358333°<br>Haplotype number: H1",Russia_Yamal_334,334,UV+,lineage C,"cylindrical, UV+",Russia," 68.3388889°, 071.3358333°",H1,68.3388889,71.3358333,68.3388889,71.3358333,KY559197,
72.1552778,72.1805556,"cylindrical, UV-","Sample ID new: Russia_Yamal_335<br>DNA ID/GenBank NO: 335<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Russia<br>GPS coordinates:  72.1805556°, 072.1552778°<br>Haplotype number: H1",Russia_Yamal_335,335,UV-,lineage C,"cylindrical, UV-",Russia," 72.1805556°, 072.1552778°",H1,72.1805556,72.1552778,72.1805556,72.1552778,KY559227,
57.5254972,63.6565611,T. vermicularis v. subuliformis,"Sample ID new: Komi_Ural_329<br>DNA ID/GenBank NO: 329<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: Komi Republic<br>GPS coordinates: 63.6565611°, 057.5254972°<br>Haplotype number: H1",Komi_Ural_329,329,UV+,lineage C,"cylindrical, UV+",Komi Republic,"63.6565611°, 057.5254972°",H1,63.6565611,57.5254972,63.6565611,57.5254972,KY559196,
88.03685,49.409,T. vermicularis v. subuliformis,"Sample ID new: Altai_AltaiMt_339<br>DNA ID/GenBank NO: 339<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: Altai Republic<br>GPS coordinates:  49.4090000°, 088.0368500°<br>Haplotype number: H1",Altai_AltaiMt_339,339,UV+,lineage C,"cylindrical, UV+",Altai Republic," 49.4090000°, 088.0368500°",H1,49.409,88.03685,49.409,88.03685,KY559115,
-160.3156389,66.3677306,"cylindrical, UV-","Sample ID new: USA_FingerMt_82<br>DNA ID/GenBank NO: 82<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: U.S.A.<br>GPS coordinates: 66.3677306°, -160.3156389°<br>Haplotype number: H1",USA_FingerMt_82,82,UV-,lineage C,"cylindrical, UV-",U.S.A.,"66.3677306°, -160.3156389°",H1,66.3677306,-160.3156389,66.3677306,-160.3156389,KY559236,
14.9333333,47.0833333,"cylindrical, UV-","Sample ID new: Austria_Wolkerkogel_265<br>DNA ID/GenBank NO: 265<br>chemotype: UV-<br>lineage: lineage B<br>Phenotype: cylindrical, UV-<br>Country: Austria<br>GPS coordinates:  47.0833333°, 014.9333333°<br>Haplotype number: H8",Austria_Wolkerkogel_265,265,UV-,lineage B,"cylindrical, UV-",Austria," 47.0833333°, 014.9333333°",H8,47.0833333,14.9333333,47.0833333,14.9333333,KY559147,
14.9333333,47.0833333,T. vermicularis,"Sample ID new: Austria_Wolkerkogel_266<br>DNA ID/GenBank NO: 266<br>chemotype: UV-<br>lineage: lineage B<br>Phenotype: cylindrical, UV-<br>Country: Austria<br>GPS coordinates:  47.0833333°, 014.9333333°<br>Haplotype number: H8",Austria_Wolkerkogel_266,266,UV-,lineage B,"cylindrical, UV-",Austria," 47.0833333°, 014.9333333°",H8,47.0833333,14.9333333,47.0833333,14.9333333,KY559148,
-128.579125,54.3586944,T. vermicularis,"Sample ID new: USA_BritishColombia_272<br>DNA ID/GenBank NO: 272<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: U.S.A.<br>GPS coordinates:  54.3586944°, -128.5791250°<br>Haplotype number: H1",USA_BritishColombia_272,272,UV-,lineage C,"cylindrical, UV-",U.S.A.," 54.3586944°, -128.5791250°",H1,54.3586944,-128.579125,54.3586944,-128.579125,KY559207,
-128.579125,54.3586944,T. vermicularis,"Sample ID new: USA_RadioTowerMt_277<br>DNA ID/GenBank NO: 277<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: U.S.A.<br>GPS coordinates:  54.3586944°, -128.5791250°<br>Haplotype number: H1",USA_RadioTowerMt_277,277,UV-,lineage C,"cylindrical, UV-",U.S.A.," 54.3586944°, -128.5791250°",H1,54.3586944,-128.579125,54.3586944,-128.579125,KY559224,
-128.579125,54.3586944,T. vermicularis,"Sample ID new: USA_RadioTowerMt_280<br>DNA ID/GenBank NO: 280<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: U.S.A.<br>GPS coordinates:  54.3586944°, -128.5791250°<br>Haplotype number: H1",USA_RadioTowerMt_280,280,UV-,lineage C,"cylindrical, UV-",U.S.A.," 54.3586944°, -128.5791250°",H1,54.3586944,-128.579125,54.3586944,-128.579125,KY559225,
-68.0512222,-16.3303056,T. vermicularis,"Sample ID new: Bolivia_LaCumbre_376<br>DNA ID/GenBank NO: 376<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Bolivia<br>GPS coordinates:  -16.3303056°, -068.0512222°<br>Haplotype number: H1",Bolivia_LaCumbre_376,376,UV-,lineage C,"cylindrical, UV-",Bolivia," -16.3303056°, -068.0512222°",H1,-16.3303056,-68.0512222,-16.3303056,-68.0512222,,
-68.0512222,-16.3303056,T. vermicularis,"Sample ID new: Bolivia_LaCumbre_377<br>DNA ID/GenBank NO: 377<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Bolivia<br>GPS coordinates:  -16.3303056°, -068.0512222°<br>Haplotype number: H1",Bolivia_LaCumbre_377,377,UV-,lineage C,"cylindrical, UV-",Bolivia," -16.3303056°, -068.0512222°",H1,-16.3303056,-68.0512222,-16.3303056,-68.0512222,,
-68.0512222,-16.3303056,T. vermicularis,"Sample ID new: Bolivia_LaCumbre_378<br>DNA ID/GenBank NO: 378<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Bolivia<br>GPS coordinates:  -16.3303056°, -068.0512222°<br>Haplotype number: H1",Bolivia_LaCumbre_378,378,UV-,lineage C,"cylindrical, UV-",Bolivia," -16.3303056°, -068.0512222°",H1,-16.3303056,-68.0512222,-16.3303056,-68.0512222,,
-68.0512222,-16.3303056,T. vermicularis,"Sample ID new: Bolivia_LaCumbre_379<br>DNA ID/GenBank NO: 379<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Bolivia<br>GPS coordinates:  -16.3303056°, -068.0512222°<br>Haplotype number: H1",Bolivia_LaCumbre_379,379,UV-,lineage C,"cylindrical, UV-",Bolivia," -16.3303056°, -068.0512222°",H1,-16.3303056,-68.0512222,-16.3303056,-68.0512222,,
-68.0512222,-16.3303056,T. vermicularis,"Sample ID new: Bolivia_LaCumbre_380<br>DNA ID/GenBank NO: 380<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Bolivia<br>GPS coordinates:  -16.3303056°, -068.0512222°<br>Haplotype number: H1",Bolivia_LaCumbre_380,380,UV-,lineage C,"cylindrical, UV-",Bolivia," -16.3303056°, -068.0512222°",H1,-16.3303056,-68.0512222,-16.3303056,-68.0512222,,
-53.833,47.62,T. vermicularis v. subuliformis,"Sample ID new: Canada_Avalon_285<br>DNA ID/GenBank NO: 285<br>chemotype: UV+<br>lineage: lineage C<br>Phenotype: cylindrical, UV+<br>Country: Canada<br>GPS coordinates:  47.6200000°, -053.8330000°<br>Haplotype number: H1",Canada_Avalon_285,285,UV+,lineage C,"cylindrical, UV+",Canada," 47.6200000°, -053.8330000°",H1,47.62,-53.833,47.62,-53.833,KY559149,
99.5672222,30.3222222,T. vermicularis,"Sample ID new: China_Sichuan_566.1<br>DNA ID/GenBank NO: 566.1<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: China<br>GPS coordinates:  30.3222222°, 099.5672222°<br>Haplotype number: H1",China_Sichuan_566.1,566.1,UV-,lineage C,"cylindrical, UV-",China," 30.3222222°, 099.5672222°",H1,30.3222222,99.5672222,30.3222222,99.5672222,,
99.5672222,30.3222222,T. vermicularis,"Sample ID new: China_Sichuan_566.2<br>DNA ID/GenBank NO: 566.2<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: China<br>GPS coordinates:  30.3222222°, 099.5672222°<br>Haplotype number: H1",China_Sichuan_566.2,566.2,UV-,lineage C,"cylindrical, UV-",China," 30.3222222°, 099.5672222°",H1,30.3222222,99.5672222,30.3222222,99.5672222,,
-67.6911111,-54.9575,T. vermicularis,"Sample ID new: Chile_Navarino_516.1<br>DNA ID/GenBank NO: 516.1<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Chile<br>GPS coordinates:  -54.9575000°, -067.6911111°<br>Haplotype number: H1",Chile_Navarino_516.1,516.1,UV-,lineage C,"cylindrical, UV-",Chile," -54.9575000°, -067.6911111°",H1,-54.9575,-67.6911111,-54.9575,-67.6911111,,
-67.6911111,-54.9575,T. vermicularis,"Sample ID new: Chile_Navarino_516.2<br>DNA ID/GenBank NO: 516.2<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Chile<br>GPS coordinates:  -54.9575000°, -067.6911111°<br>Haplotype number: H1",Chile_Navarino_516.2,516.2,UV-,lineage C,"cylindrical, UV-",Chile," -54.9575000°, -067.6911111°",H1,-54.9575,-67.6911111,-54.9575,-67.6911111,,
-67.6911111,-54.9575,T. vermicularis,"Sample ID new: Chile_Navarino_516.3<br>DNA ID/GenBank NO: 516.3<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Chile<br>GPS coordinates:  -54.9575000°, -067.6911111°<br>Haplotype number: H1",Chile_Navarino_516.3,516.3,UV-,lineage C,"cylindrical, UV-",Chile," -54.9575000°, -067.6911111°",H1,-54.9575,-67.6911111,-54.9575,-67.6911111,,
-72.2671583,6.4225639,T. vermicularis,"Sample ID new: Colombia_LagoPanuelo_467<br>DNA ID/GenBank NO: 467<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Colombia<br>GPS coordinates:  06.4225639°, -072.2671583°<br>Haplotype number: H1",Colombia_LagoPanuelo_467,467,UV-,lineage C,"cylindrical, UV-",Colombia," 06.4225639°, -072.2671583°",H1,6.4225639,-72.2671583,6.4225639,-72.2671583,,
-72.2671583,6.4225639,T. vermicularis,"Sample ID new: Colombia_LagoPanuelo_468<br>DNA ID/GenBank NO: 468<br>chemotype: UV-<br>lineage: lineage C<br>Phenotype: cylindrical, UV-<br>Country: Colombia<br>GPS coordinates:  06.4225639°, -072.2671583°<br>Haplotype number: H1",Colombia_LagoPanuelo_468,468,UV-,lineage C,"cylindrical, UV-",Colombia," 06.4225639°, -072.2671583°",H1,6.4225639,-72.2671583,6.4225639,-72.2671583,,
